my_publication,cited_by_title,cited_by_author,cited_by_institution,cited_by_country
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Pedro Campuzano‐Jost,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Pedro Campuzano‐Jost,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Jason M. St. Clair,"University of Maryland, Baltimore County",US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Jason M. St. Clair,Goddard Space Flight Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. H. Crawford,Langley Research Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,John D. Crounse,California Institute of Technology,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Douglas A. Day,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Douglas A. Day,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joshua P. DiGangi,Langley Research Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Glenn S. Diskin,Langley Research Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Alan Fried,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Alan Fried,Institute of Arctic and Alpine Research,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. B. Gilman,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Hongyu Guo,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Hongyu Guo,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Johnathan W. Hair,Langley Research Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Hannah S. Halliday,Environmental Protection Agency,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Hannah S. Halliday,Research Triangle Park Foundation,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Hannah S. Halliday,Langley Research Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,T. F. Hanisco,Goddard Space Flight Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Reem A. Hannun,University of Pittsburgh,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Reem A. Hannun,"University of Maryland, Baltimore County",US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Reem A. Hannun,Goddard Space Flight Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Alan J. Hills,Atmospheric Chemistry Observations & Modeling,
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Alan J. Hills,NSF National Center for Atmospheric Research,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,L. G. Huey,Georgia Institute of Technology,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. L. Jiménez,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. L. Jiménez,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joseph M. Katich,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joseph M. Katich,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joseph M. Katich,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Aaron Lamplugh,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Aaron Lamplugh,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Aaron Lamplugh,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Young Ro Lee,Georgia Institute of Technology,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. Liao,Goddard Space Flight Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. Liao,"University of Maryland, Baltimore County",US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Jakob Lindaas,Colorado State University,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Jakob Lindaas,Congressional Budget Office,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Jakob Lindaas,United States Congress,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,S. A. McKeen,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,S. A. McKeen,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,S. A. McKeen,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Tomáš Mikoviny,Colgate University,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Benjamin A. Nault,Aerodyne Research,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Benjamin A. Nault,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Benjamin A. Nault,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Benjamin A. Nault,Johns Hopkins University,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Benjamin A. Nault,Johns Hopkins Medicine,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. A. Neuman,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. A. Neuman,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. A. Neuman,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,J. B. Nowak,Langley Research Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Demetrios Pagonis,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Demetrios Pagonis,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Demetrios Pagonis,Weber State University,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Jeff Peischl,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Jeff Peischl,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Jeff Peischl,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,A. E. Perring,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,A. E. Perring,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,A. E. Perring,Colgate University,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Felix Piel,Ionicon Analytik (Austria),AT
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Felix Piel,Universität Innsbruck,AT
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Felix Piel,University of Oslo,NO
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Pamela S. Rickly,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Pamela S. Rickly,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Pamela S. Rickly,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Michael Robinson,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Michael Robinson,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Michael Robinson,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Andrew W. Rollins,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Thomas B. Ryerson,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Thomas B. Ryerson,Scientific Aviation (United States),US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Melinda K. Schueneman,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Melinda K. Schueneman,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Rebecca H. Schwantes,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joshua P. Schwarz,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joshua P. Schwarz,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joshua P. Schwarz,Goddard Space Flight Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joshua P. Schwarz,Washington University in St. Louis,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joshua P. Schwarz,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Joshua P. Schwarz,National Centre for Earth Observation,GB
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Kanako Sekimoto,Yokohama City University,JP
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Vanessa Selimovic,University of Montana,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Taylor Shingler,Langley Research Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,David J. Tanner,"University of Maryland, Baltimore County",US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Laura Tomsche,Langley Research Center,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Laura Tomsche,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),DE
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Laura Tomsche,Johannes Gutenberg University Mainz,DE
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Laura Tomsche,Universities Space Research Association,US
